date,macro_day__总发行量(亿元),macro_day__发行只数,macro_day__总偿还量(亿元),macro_day__净融资额(亿元),macro_day__到期偿还量(亿元),macro_day__到期只数,macro_day__提前兑付量(亿元),macro_day__提前兑付只数,macro_day__回售量(亿元),macro_day__回售只数,macro_day__赎回量(亿元),macro_day__赎回只数,macro_day__现金要约金额(亿元),macro_day__现金要约只数,macro_week__中国:日均产量:粗钢,macro_week__唐山:高炉开工率,macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,macro_week__中国:开工率:汽车轮胎(全钢胎),macro_week__中国:开工率:汽车轮胎(半钢胎),macro_week__义乌中国小商品指数:总价格指数,"macro_week__中国:日均销量(当周,厂家零售):乘用车",macro_week__中国:票房收入:电影,macro_week__中国:30大中城市:成交面积:商品房,macro_week__中国:100大中城市:成交土地占地面积:当周值,macro_week__中国:开工率:石油沥青装置,macro_week__中国:水泥价格指数,macro_week__中国出口集装箱运价指数:综合指数,macro_week__上海出口集装箱运价指数:综合指数,macro_week__波罗的海货运指数,macro_week__中国食用农产品价格指数,macro_week__中国:平均批发价:猪肉,macro_week__中国:生产资料价格指数,macro_week__期货结算价(连续):布伦特原油,omo_net,omo_inject,omo_withdraw,lpr_1y,lpr_5y,gov_net_financing,net_financing_total,dr001,dr007,r001,r007,fr007,gc001,gc007,spread_r007_dr007,spread_gc007_r007,spread_fr007_r007,label__liquidity__dr001__t+20,label__liquidity__dr007__t+20,label__liquidity__r001__t+20,label__liquidity__r007__t+20,label__liquidity__fr007__t+20,label__liquidity__gc001__t+20,label__liquidity__gc007__t+20,label__liquidity__spread_r007_dr007__t+20,label__liquidity__spread_gc007_r007__t+20,label__liquidity__spread_fr007_r007__t+20
2020-08-14,625.7,4,0.0,625.7,0.0,0,0,0,0,0,0,0,0,0,0.0,77.12,0.0,0.0,0.0,0.0,0,6315.31,71.13,0.0,0.0,137.75,880.53,1167.91,1847.91,138.72,48.25,88.53,44.8,500.0,1000.0,500.0,,,,625.7,2.1665,2.2098,2.2215,,2.35,,,,,,1.4579,2.0912,1.5072,2.2033,2.2,,,0.1120999999999998,,-0.0032999999999998
2020-08-17,187.3,3,200.6,-13.3,200.6,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7584.69,53.08,0.0,0.0,137.65,0.0,0.0,0.0,0.0,48.41,0.0,45.37,100.0,1500.0,1400.0,,,,-13.3,2.1058,2.2092,2.1669,2.3743,2.3,,,0.1650999999999998,,-0.0743,1.5908,2.0856,1.6466,2.1874,2.2,,,0.1017999999999998,,0.0126000000000003
2020-08-18,249.5,6,0.0,249.5,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7367.83,60.62,0.0,0.0,138.16,0.0,0.0,0.0,0.0,48.08,0.0,45.46,100.0,1600.0,1500.0,,,,249.5,2.1161,2.1868,2.1659,2.3789,2.3,,,0.1920999999999999,,-0.0788999999999999,1.7017,2.0996,1.7635,2.2276,2.2,,,0.1279999999999996,,-0.0275999999999996
2020-08-19,891.8,4,0.0,891.8,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7776.76,68.23,0.0,57.7,138.26,0.0,0.0,0.0,0.0,48.18,0.0,45.37,500.0,2000.0,1500.0,,,,891.8,2.1521,2.2052,2.2112,2.3516,2.33,,,0.1463999999999998,,-0.0215999999999998,1.3956,2.1481,1.4536,2.2704,2.2,,,0.1223,,-0.0703999999999998
2020-08-20,521.4,7,0.0,521.4,0.0,0,0,0,0,0,0,0,0,0,298.16,0.0,66.63,74.31,69.92,0.0,0,8005.8,69.4,0.0,0.0,138.74,0.0,0.0,0.0,0.0,48.1,0.0,44.9,1100.0,1600.0,500.0,3.85,4.65,,521.4,2.1919,2.2772,2.2711,2.3745,2.33,,,0.0972999999999997,,-0.0444999999999997,1.792,2.2047,1.8871,2.2741,2.23,,,0.0693999999999999,,-0.0440999999999998
2020-08-21,357.3,4,0.0,357.3,0.0,0,0,0,0,0,0,0,0,0,0.0,75.08,0.0,0.0,0.0,0.0,0,15804.4,71.99,0.0,0.0,138.51,885.46,1183.7,1912.56,139.27,48.4,88.97,44.35,2000.0,3000.0,1000.0,3.85,4.65,,357.3,2.2521,2.3231,2.3462,2.4491,2.47,,,0.1259999999999999,,0.0209000000000001,2.1247,2.2794,2.2553,2.3935,2.32,,,0.1141,,-0.0735000000000001
2020-08-24,144.3,2,200.2,-55.9,200.2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,17188.98,60.52,0.0,0.0,139.32,0.0,0.0,0.0,0.0,48.07,0.0,45.13,550.0,2050.0,1500.0,3.85,4.65,,-55.9,2.3335,2.2651,2.404,2.5732,2.37,,,0.3081,,-0.2031999999999998,2.2457,2.3265,2.432,2.6426,2.5,,,0.3161,,-0.1425999999999998
2020-08-25,210.0,5,0.0,210.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,52167.01,68.55,0.0,0.0,139.58,0.0,0.0,0.0,0.0,48.4,0.0,45.86,-650.0,1000.0,1650.0,3.85,4.65,,210.0,1.9262,2.2132,1.9848,2.5108,2.6,,,0.2976000000000001,,0.0891999999999999,2.2619,2.3634,2.436,2.8206,2.5,,,0.4572000000000003,,-0.3206000000000002
2020-08-26,225.0,4,200.0,25.0,200.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,21044.44,68.21,0.0,57.0,139.66,0.0,0.0,0.0,0.0,48.03,0.0,45.64,-1000.0,500.0,1500.0,3.85,4.65,,25.0,1.6145,2.1799,1.6649,2.5918,2.5,,,0.4119000000000001,,-0.0918000000000001,1.8379,2.0958,1.9109,2.9743,2.2,,,0.8784999999999998,,-0.7742999999999998
2020-08-27,520.0,7,0.0,520.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,68.42,74.48,69.72,0.0,0,17343.59,68.94,0.0,0.0,140.33,0.0,0.0,0.0,0.0,48.57,0.0,45.09,-800.0,200.0,1000.0,3.85,4.65,,520.0,1.4515,2.1532,1.5077,2.4974,2.5,,,0.3441999999999998,,0.0026000000000001,1.3964,2.0481,1.4667,2.3142,2.1144,,,0.2661000000000002,,-0.1998000000000002
2020-08-28,240.5,3,590.0,-349.5,590.0,1,0,0,0,0,0,0,0,0,0.0,74.27,0.0,0.0,0.0,0.0,0,17811.8,78.36,0.0,0.0,140.6,905.23,1263.26,1945.87,139.83,48.41,89.15,45.05,-2300.0,200.0,2500.0,3.85,4.65,,-349.5,1.3466,2.223,1.3998,2.4745,2.4,,,0.2515,,-0.0745,1.0807,1.7726,1.0967,2.1869,2.0,,,0.4143000000000001,,-0.1869
2020-08-31,133.3,3,100.3,33.0,100.3,1,0,0,0,0,0,0,0,0,297.81,0.0,0.0,0.0,0.0,0.0,88529,11274.92,64.43,0.0,0.0,140.56,0.0,0.0,0.0,0.0,48.42,0.0,45.28,-1800.0,200.0,2000.0,3.85,4.65,,33.0,1.7943,2.2468,1.9719,2.4837,2.4,,,0.2368999999999999,,-0.0836999999999998,0.6667,1.9325,0.6779,1.968,1.85,,,0.0354999999999998,,-0.1179999999999998
2020-09-01,255.6,6,0.0,255.6,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8007.59,70.64,0.0,0.0,140.6,0.0,0.0,0.0,0.0,48.22,0.0,45.58,200.0,1200.0,1000.0,3.85,4.65,,255.6,2.1029,2.1948,2.1786,2.5141,2.25,,,0.3193000000000001,,-0.2641,0.5965,2.2536,0.6854,1.89,2.45,,,-0.3636000000000001,,0.5600000000000003
2020-09-02,1552.2,4,300.0,1252.2,300.0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6542.64,69.76,0.0,57.6,140.58,0.0,0.0,0.0,0.0,48.28,0.0,44.43,0.0,1000.0,1000.0,3.85,4.65,,1252.2,2.0659,2.1919,2.1187,2.4113,2.3,,,0.2194000000000002,,-0.1113000000000004,0.8947,2.3907,1.0124,2.7132,2.49,,,0.3225000000000002,,-0.2231999999999998
2020-09-03,499.2,7,0.0,499.2,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,59.36,74.45,70.13,0.0,0,6822.87,74.15,0.0,0.0,140.99,0.0,0.0,0.0,0.0,48.47,0.0,44.07,200.0,1000.0,800.0,3.85,4.65,,499.2,1.7472,2.1781,1.7949,2.3963,2.25,,,0.2181999999999999,,-0.1463000000000001,2.3785,2.4483,2.5256,3.0107,2.5,,,0.5623999999999998,,-0.5106999999999999
2020-09-04,938.8,4,0.0,938.8,0.0,0,0,0,0,0,0,0,0,0,0.0,71.16,0.0,0.0,0.0,0.0,0,12458.33,73.69,0.0,0.0,141.08,922.0,1320.8,2032.42,139.97,47.95,89.6,42.66,1000.0,1700.0,700.0,3.85,4.65,,938.8,2.0368,2.2057,2.0886,2.3216,2.3,,,0.1158999999999998,,-0.0216000000000002,2.0289,2.1697,2.0433,2.5514,2.23,2.39,2.405,0.3816999999999999,-0.1464000000000003,-0.3214000000000001
2020-09-07,118.0,3,250.0,-132.0,250.0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6057.56,62.68,0.0,0.0,141.36,0.0,0.0,0.0,0.0,48.03,0.0,42.01,1000.0,1200.0,200.0,3.85,4.65,,-132.0,2.0791,2.1971,2.1291,2.3408,2.25,,,0.1437000000000003,,-0.0908000000000002,1.5552,1.9353,1.5667,2.2973,2.0,2.465,2.47,0.3619999999999999,0.1727000000000003,-0.2972999999999999
2020-09-08,239.0,6,911.0,-672.0,911.0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5376.16,60.5,0.0,0.0,141.36,0.0,0.0,0.0,0.0,48.17,0.0,39.78,200.0,1400.0,1200.0,3.85,4.65,,-672.0,2.0257,2.2048,2.0707,2.3267,2.26,,,0.1219000000000001,,-0.0667000000000004,1.5065,1.9644,1.5719,2.0115,2.1408,2.45,2.44,0.0470999999999999,0.4285000000000001,0.1293000000000002
2020-09-09,1825.9,7,0.0,1825.9,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5007.93,64.99,0.0,56.9,141.54,0.0,0.0,0.0,0.0,48.36,0.0,40.79,-100.0,900.0,1000.0,3.85,4.65,,1825.9,1.5988,2.1607,1.6471,2.3259,2.25,,,0.1652,,-0.0758999999999998,1.6973,2.0443,1.7559,2.2442,2.15,2.585,2.575,0.1999000000000004,0.3308,-0.0942000000000002
2020-09-10,1010.0,9,520.2,489.8,520.2,3,0,0,0,0,0,0,0,0,296.13,0.0,69.89,74.52,70.29,0.0,0,5753.75,70.43,0.0,0.0,142.05,0.0,0.0,0.0,0.0,48.37,0.0,40.06,-200.0,800.0,1000.0,3.85,4.65,,489.8,1.3372,2.0534,1.3864,2.2876,2.16,,,0.2341999999999999,,-0.1275999999999997,1.9663,2.1302,2.04,2.2389,2.2,2.76,2.725,0.1087000000000002,0.4861,-0.0388999999999999
2020-09-11,1038.6,4,1274.38,-235.78,1274.38,1,0,0,0,0,0,0,0,0,0.0,70.24,0.0,0.0,0.0,0.0,0,12116.96,66.9,0.0,0.0,142.6,949.48,1355.04,2111.88,139.83,47.85,89.96,39.83,-1700.0,0.0,1700.0,3.85,4.65,,-235.78,1.4579,2.0912,1.5072,2.2033,2.2,,,0.1120999999999998,,-0.0032999999999998,2.0285,2.1823,2.1076,2.3079,2.3,2.74,2.76,0.1255999999999999,0.4520999999999997,-0.0079000000000002
2020-09-14,90.2,2,101.9,-11.7,101.9,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5439.18,55.22,0.0,0.0,143.03,0.0,0.0,0.0,0.0,47.43,0.0,39.61,0.0,1200.0,1200.0,3.85,4.65,,-11.7,1.5908,2.0856,1.6466,2.1874,2.2,,,0.1017999999999998,,0.0126000000000003,1.9965,2.1867,2.055,2.3602,2.25,2.695,2.8,0.1734999999999997,0.4397999999999999,-0.1101999999999998
2020-09-15,283.0,6,100.0,183.0,100.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5126.38,63.1,0.0,0.0,142.56,0.0,0.0,0.0,0.0,47.71,0.0,40.53,-300.0,1100.0,1400.0,3.85,4.65,,183.0,1.7017,2.0996,1.7635,2.2276,2.2,,,0.1279999999999996,,-0.0275999999999996,2.1995,2.2494,2.277,2.3121,2.3,2.395,2.665,0.0626999999999999,0.3529,-0.0121000000000002
2020-09-16,1508.2,5,282.6,1225.6,282.6,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4685.71,65.97,0.0,58.1,144.1,0.0,0.0,0.0,0.0,47.68,0.0,42.22,800.0,1700.0,900.0,3.85,4.65,,1225.6,1.3956,2.1481,1.4536,2.2704,2.2,,,0.1223,,-0.0703999999999998,2.1367,2.3046,2.2193,2.4038,2.4,2.14,2.52,0.0991999999999997,0.1162,-0.0038
2020-09-17,469.4,6,0.0,469.4,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,71.21,74.27,70.53,0.0,0,4551.45,76.72,0.0,0.0,144.5,0.0,0.0,0.0,0.0,47.67,0.0,43.3,600.0,1400.0,800.0,3.85,4.65,,469.4,1.792,2.2047,1.8871,2.2741,2.23,,,0.0693999999999999,,-0.0440999999999998,1.9481,2.1925,2.0144,2.5092,2.35,2.005,2.415,0.3167,-0.0941999999999998,-0.1591999999999998
2020-09-18,1053.3,8,0.0,1053.3,0.0,0,0,0,0,0,0,0,0,0,0.0,70.14,0.0,0.0,0.0,0.0,0,6368.99,87.24,0.0,0.0,144.5,985.44,1409.57,2174.12,139.27,47.28,89.96,43.15,3500.0,3500.0,0.0,3.85,4.65,,1053.3,2.1247,2.2794,2.2553,2.3935,2.32,,,0.1141,,-0.0735000000000001,1.9116,2.1643,1.9681,2.4227,2.3,2.965,2.63,0.2583999999999999,0.2073,-0.1227
2020-09-21,83.4,2,101.3,-17.9,101.3,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3742.61,56.76,0.0,0.0,144.74,0.0,0.0,0.0,0.0,47.29,0.0,41.44,800.0,2000.0,1200.0,3.85,4.65,,-17.9,2.2457,2.3265,2.432,2.6426,2.5,,,0.3161,,-0.1425999999999998,2.1468,2.217,2.2182,2.3242,2.2,2.865,2.64,0.1071999999999997,0.3158000000000003,-0.1241999999999996
2020-09-22,289.9,6,0.0,289.9,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3519.91,70.71,0.0,0.0,144.58,0.0,0.0,0.0,0.0,47.27,0.0,41.72,100.0,1200.0,1100.0,3.85,4.65,,289.9,2.2619,2.3634,2.436,2.8206,2.5,,,0.4572000000000003,,-0.3206000000000002,2.2157,2.2548,2.3358,2.3587,2.5,2.34,2.42,0.1038999999999998,0.0613000000000001,0.1413000000000002
2020-09-23,152.0,3,0.0,152.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3373.07,68.36,0.0,58.4,144.57,0.0,0.0,0.0,0.0,46.77,0.0,41.77,-200.0,900.0,1100.0,3.85,4.65,,152.0,1.8379,2.0958,1.9109,2.9743,2.2,,,0.8784999999999998,,-0.7742999999999998,2.4215,2.5307,2.6776,2.9084,3.0,2.2,2.365,0.3776999999999999,-0.5433999999999997,0.0916000000000001
2020-09-24,455.4,6,640.0,-184.6,640.0,2,0,0,0,0,0,0,0,0,0.0,0.0,71.12,74.52,70.33,0.0,0,3239.77,96.07,0.0,0.0,144.54,0.0,0.0,0.0,0.0,47.09,0.0,41.94,200.0,200.0,0.0,3.85,4.65,,-184.6,1.3964,2.0481,1.4667,2.3142,2.1144,,,0.2661000000000002,,-0.1998000000000002,2.398,2.5312,2.6492,3.2181,3.0,1.905,2.25,0.6869000000000001,-0.9681000000000002,-0.2181000000000001
2020-09-25,829.5,4,572.4,257.1,572.4,1,0,0,0,0,0,0,0,0,0.0,69.12,0.0,0.0,0.0,0.0,0,8653.76,79.56,0.0,0.0,145.77,1007.44,1421.75,2246.85,138.57,46.57,89.24,41.92,-650.0,400.0,1050.0,3.85,4.65,,257.1,1.0807,1.7726,1.0967,2.1869,2.0,,,0.4143000000000001,,-0.1869,2.1332,2.4962,2.2278,3.209,3.15,2.055,2.34,0.7128000000000001,-0.8690000000000002,-0.0590000000000001
2020-09-27,0.0,0,174.6,-174.6,174.6,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.72,0,6781.73,85.18,3190.52,0.0,0.0,0.0,0.0,0.0,0.0,46.07,0.0,0.0,-950.0,1050.0,2000.0,3.85,4.65,,-174.6,0.6667,1.9325,0.6779,1.968,1.85,,,0.0354999999999998,,-0.1179999999999998,2.3004,2.5889,2.9179,3.176,3.3,2.105,2.335,0.5871,-0.8410000000000002,0.1239999999999996
2020-09-28,226.5,4,30.0,196.5,30.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4852.33,75.85,0.0,0.0,146.36,0.0,0.0,0.0,0.0,45.74,0.0,42.43,-500.0,500.0,1000.0,3.85,4.65,,196.5,0.5965,2.2536,0.6854,1.89,2.45,,,-0.3636000000000001,,0.5600000000000003,2.2966,2.463,2.408,3.3693,2.6,2.11,2.315,0.9063,-1.0543,-0.7692999999999999
2020-09-29,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4926.01,95.08,0.0,0.0,146.33,0.0,0.0,0.0,0.0,46.03,0.0,41.03,-5600.0,0.0,5600.0,3.85,4.65,,0.0,0.8947,2.3907,1.0124,2.7132,2.49,,,0.3225000000000002,,-0.2231999999999998,1.8035,2.1624,1.8857,2.7996,2.35,2.02,2.325,0.6372,-0.4745999999999997,-0.4495999999999998
2020-09-30,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,308.71,69.46,72.73,73.39,70.71,0.0,136287,12793.37,105.82,0.0,58.2,146.33,1023.02,1443.54,0.0,0.0,45.41,0.0,40.95,0.0,0.0,0.0,3.85,4.65,,0.0,2.3785,2.4483,2.5256,3.0107,2.5,,,0.5623999999999998,,-0.5106999999999999,1.3879,2.0098,1.4752,2.3984,2.19,1.925,2.18,0.3886000000000003,-0.2183999999999999,-0.2084000000000001
2020-10-09,850.9,2,0.0,850.9,0.0,0,0,0,0,0,0,0,0,0,0.0,70.83,0.0,0.0,0.0,0.0,0,11119.28,44.73,0.0,0.0,146.38,1050.32,1438.22,2242.07,137.05,44.55,89.42,42.85,-600.0,0.0,600.0,3.85,4.65,,850.9,2.0289,2.1697,2.0433,2.5514,2.23,2.39,2.405,0.3816999999999999,-0.1464000000000003,-0.3214000000000001,1.382,2.024,1.4429,2.204,2.1,2.105,2.34,0.1800000000000001,0.1359999999999996,-0.104
2020-10-10,488.3544,2,311.9623,176.3921,311.9623,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,17047.73,69.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.96,0.0,0.0,-1000.0,0.0,1000.0,3.85,4.65,,176.3921,1.5552,1.9353,1.5667,2.2973,2.0,2.465,2.47,0.3619999999999999,0.1727000000000003,-0.2972999999999999,1.7888,2.2219,1.8764,2.1776,2.3,2.2,2.445,-0.0443000000000002,0.2673999999999998,0.1223999999999998
2020-10-12,124.3,3,132.6,-8.3,132.6,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7462.72,49.44,0.0,0.0,147.03,0.0,0.0,0.0,0.0,43.26,0.0,41.72,-500.0,0.0,500.0,3.85,4.65,,-8.3,1.5065,1.9644,1.5719,2.0115,2.1408,2.45,2.44,0.0470999999999999,0.4285000000000001,0.1293000000000002,2.196,2.2953,2.2858,2.4022,2.4,2.21,2.41,0.1069,0.0078,-0.0022000000000002
2020-10-13,301.4,6,0.0,301.4,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6595.45,73.89,0.0,0.0,147.41,0.0,0.0,0.0,0.0,42.77,0.0,42.45,500.0,500.0,0.0,3.85,4.65,,301.4,1.6973,2.0443,1.7559,2.2442,2.15,2.585,2.575,0.1999000000000004,0.3308,-0.0942000000000002,2.3334,2.3549,2.4522,2.5253,2.55,2.295,2.46,0.1703999999999998,-0.0653000000000001,0.0246999999999997
2020-10-14,1705.9,6,0.0,1705.9,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6097.56,68.64,0.0,56.1,147.85,0.0,0.0,0.0,0.0,43.17,0.0,43.32,500.0,500.0,0.0,3.85,4.65,,1705.9,1.9663,2.1302,2.04,2.2389,2.2,2.76,2.725,0.1087000000000002,0.4861,-0.0388999999999999,2.3467,2.3857,2.4857,2.6374,2.7,2.77,2.705,0.2517,0.0676000000000001,0.0626000000000002
2020-10-15,456.1,5,0.0,456.1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,81.2,69.75,67.57,0.0,0,6390.94,79.04,0.0,0.0,148.77,0.0,0.0,0.0,0.0,42.63,0.0,43.16,500.0,500.0,0.0,3.85,4.65,,456.1,2.0285,2.1823,2.1076,2.3079,2.3,2.74,2.76,0.1255999999999999,0.4520999999999997,-0.0079000000000002,2.5649,2.5829,2.8058,2.7547,2.9,3.185,3.395,0.1718000000000001,0.6402999999999999,0.1452999999999997
2020-10-16,602.6,3,50.0,552.6,50.0,1,0,0,0,0,0,0,0,0,0.0,69.28,0.0,0.0,0.0,0.0,0,10509.59,80.3,0.0,0.0,149.19,1053.8,1448.87,2232.23,134.58,42.41,89.78,42.93,700.0,700.0,0.0,3.85,4.65,,552.6,1.9965,2.1867,2.055,2.3602,2.25,2.695,2.8,0.1734999999999997,0.4397999999999999,-0.1101999999999998,2.5323,2.6061,2.7809,3.1901,3.2,3.46,3.45,0.5840000000000001,0.2599,0.0099
2020-10-19,139.6,3,100.9,38.7,100.9,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5118.36,62.55,0.0,0.0,150.55,0.0,0.0,0.0,0.0,42.52,0.0,42.62,800.0,800.0,0.0,3.85,4.65,,38.7,2.1995,2.2494,2.277,2.3121,2.3,2.395,2.665,0.0626999999999999,0.3529,-0.0121000000000002,2.2003,2.3821,2.2904,3.3582,2.53,3.23,3.065,0.9761000000000002,-0.2932000000000001,-0.8282000000000003
2020-10-20,264.0,6,0.0,264.0,0.0,0,0,0,0,0,0,0,0,0,302.91,0.0,0.0,0.0,0.0,0.0,0,4717.22,73.33,0.0,0.0,150.56,0.0,0.0,0.0,0.0,41.53,0.0,43.16,0.0,500.0,500.0,3.85,4.65,,264.0,2.1367,2.3046,2.2193,2.4038,2.4,2.14,2.52,0.0991999999999997,0.1162,-0.0038,1.7876,2.1826,1.8415,2.7439,2.4,2.895,3.49,0.5613000000000001,0.7461000000000002,-0.3439000000000001
2020-10-21,1722.0,4,0.0,1722.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4516.47,68.88,0.0,55.3,150.51,0.0,0.0,0.0,0.0,41.13,0.0,41.73,200.0,700.0,500.0,3.85,4.65,,1722.0,1.9481,2.1925,2.0144,2.5092,2.35,2.005,2.415,0.3167,-0.0941999999999998,-0.1591999999999998,1.7189,2.188,1.7726,2.4185,2.3,2.885,3.495,0.2304999999999997,1.0765000000000002,-0.1185
2020-10-22,425.0,6,30.0,395.0,30.0,1,0,0,0,0,0,0,0,0,0.0,0.0,82.95,75.32,70.81,0.0,0,4301.82,76.2,0.0,0.0,150.4,0.0,0.0,0.0,0.0,40.97,0.0,42.46,0.0,500.0,500.0,3.85,4.65,,395.0,1.9116,2.1643,1.9681,2.4227,2.3,2.965,2.63,0.2583999999999999,0.2073,-0.1227,1.9021,2.2286,1.9604,2.3649,2.3,3.175,3.49,0.1362999999999998,1.1251000000000002,-0.0649000000000001
2020-10-23,1426.1,8,0.0,1426.1,0.0,0,0,0,0,0,0,0,0,0,0.0,69.97,0.0,0.0,0.0,0.0,0,14148.81,86.37,0.0,0.0,150.41,1054.34,1469.03,2229.72,132.7,40.44,90.05,41.77,300.0,1000.0,700.0,3.85,4.65,,1426.1,2.1468,2.217,2.2182,2.3242,2.2,2.865,2.64,0.1071999999999997,0.3158000000000003,-0.1241999999999996,1.9257,2.2063,1.982,2.4017,2.3,2.6,3.415,0.1953999999999998,1.0133,-0.1017000000000001
2020-10-26,97.9,2,1042.2,-944.3,1042.2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6851.98,67.84,0.0,0.0,150.64,0.0,0.0,0.0,0.0,39.75,0.0,40.46,350.0,1200.0,850.0,3.85,4.65,,-944.3,2.2157,2.2548,2.3358,2.3587,2.5,2.34,2.42,0.1038999999999998,0.0613000000000001,0.1413000000000002,1.8356,2.1508,1.895,2.3596,2.25,2.685,2.96,0.2088000000000001,0.6004,-0.1095999999999999
2020-10-27,270.5,6,0.0,270.5,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6204.22,78.93,0.0,0.0,150.51,0.0,0.0,0.0,0.0,39.75,0.0,41.2,900.0,1400.0,500.0,3.85,4.65,,270.5,2.4215,2.5307,2.6776,2.9084,3.0,2.2,2.365,0.3776999999999999,-0.5433999999999997,0.0916000000000001,1.8132,2.294,1.8728,2.338,3.1,3.115,3.255,0.044,0.9169999999999998,0.762
2020-10-28,1304.9,5,939.9,365.0,939.9,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5630.17,74.34,0.0,58.6,150.52,0.0,0.0,0.0,0.0,40.09,0.0,39.12,350.0,1050.0,700.0,3.85,4.65,,365.0,2.398,2.5312,2.6492,3.2181,3.0,1.905,2.25,0.6869000000000001,-0.9681000000000002,-0.2181000000000001,1.5648,2.3329,1.6241,3.0409,3.3,4.22,3.42,0.7080000000000002,0.3790999999999997,0.2590999999999996
2020-10-29,405.3,5,30.0,375.3,30.0,1,0,0,0,0,0,0,0,0,0.0,0.0,83.2,75.3,71.01,0.0,0,5319.32,74.67,0.0,0.0,150.71,0.0,0.0,0.0,0.0,39.1,0.0,37.65,0.0,500.0,500.0,3.85,4.65,,375.3,2.1332,2.4962,2.2278,3.209,3.15,2.055,2.34,0.7128000000000001,-0.8690000000000002,-0.0590000000000001,1.2596,2.3444,1.3315,3.1027,2.9,3.47,2.865,0.7583000000000002,-0.2376999999999998,-0.2027000000000001
2020-10-30,590.6,3,0.0,590.6,0.0,0,0,0,0,0,0,0,0,0,0.0,67.73,0.0,0.0,0.0,0.0,0,9956.26,101.89,0.0,0.0,150.88,1074.19,1529.99,2230.94,131.51,38.85,89.96,37.46,200.0,1200.0,1000.0,3.85,4.65,,590.6,2.3004,2.5889,2.9179,3.176,3.3,2.105,2.335,0.5871,-0.8410000000000002,0.1239999999999996,0.8178,2.3676,0.8914,2.752,2.5,2.27,2.48,0.3843999999999998,-0.2719999999999998,-0.2519999999999998
2020-11-02,50.0,2,200.0,-150.0,200.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4424.57,48.98,0.0,0.0,151.57,0.0,0.0,0.0,0.0,39.54,0.0,38.97,0.0,1200.0,1200.0,3.85,4.65,,-150.0,2.2966,2.463,2.408,3.3693,2.6,2.11,2.315,0.9063,-1.0543,-0.7692999999999999,1.0738,2.3049,1.2568,2.5837,2.47,1.765,2.28,0.2787999999999999,-0.3037000000000001,-0.1136999999999996
