date,dr001,dr007,r001,r007,fr007,gc001,gc007,spread_r007_dr007,spread_gc007_r007,spread_fr007_r007
2020-08-14,2.1665,2.2098,2.2215,,2.35,,,,,
2020-08-17,2.1058,2.2092,2.1669,2.3743,2.3,,,0.1650999999999998,,-0.07430000000000003
2020-08-18,2.1161,2.1868,2.1659,2.3789,2.3,,,0.19209999999999994,,-0.07889999999999997
2020-08-19,2.1521,2.2052,2.2112,2.3516,2.33,,,0.14639999999999986,,-0.02159999999999984
2020-08-20,2.1919,2.2772,2.2711,2.3745,2.33,,,0.09729999999999972,,-0.04449999999999976
2020-08-21,2.2521,2.3231,2.3462,2.4491,2.47,,,0.1259999999999999,,0.02090000000000014
2020-08-24,2.3335,2.2651,2.404,2.5732,2.37,,,0.30810000000000004,,-0.20319999999999983
2020-08-25,1.9262,2.2132,1.9848,2.5108,2.6,,,0.2976000000000001,,0.08919999999999995
2020-08-26,1.6145,2.1799,1.6649,2.5918,2.5,,,0.41190000000000015,,-0.0918000000000001
2020-08-27,1.4515,2.1532,1.5077,2.4974,2.5,,,0.34419999999999984,,0.0026000000000001577
2020-08-28,1.3466,2.223,1.3998,2.4745,2.4,,,0.25150000000000006,,-0.07450000000000001
2020-08-31,1.7943,2.2468,1.9719,2.4837,2.4,,,0.2368999999999999,,-0.08369999999999989
2020-09-01,2.1029,2.1948,2.1786,2.5141,2.25,,,0.31930000000000014,,-0.2641
2020-09-02,2.0659,2.1919,2.1187,2.4113,2.3,,,0.21940000000000026,,-0.1113000000000004
2020-09-03,1.7472,2.1781,1.7949,2.3963,2.25,,,0.21819999999999995,,-0.1463000000000001
2020-09-04,2.0368,2.2057,2.0886,2.3216,2.3,,,0.11589999999999989,,-0.021600000000000286
2020-09-07,2.0791,2.1971,2.1291,2.3408,2.25,,,0.14370000000000038,,-0.09080000000000021
2020-09-08,2.0257,2.2048,2.0707,2.3267,2.26,,,0.12190000000000012,,-0.06670000000000043
2020-09-09,1.5988,2.1607,1.6471,2.3259,2.25,,,0.1652,,-0.07589999999999986
2020-09-10,1.3372,2.0534,1.3864,2.2876,2.16,,,0.23419999999999996,,-0.1275999999999997
2020-09-11,1.4579,2.0912,1.5072,2.2033,2.2,,,0.11209999999999987,,-0.0032999999999998586
2020-09-14,1.5908,2.0856,1.6466,2.1874,2.2,,,0.10179999999999989,,0.012600000000000389
2020-09-15,1.7017,2.0996,1.7635,2.2276,2.2,,,0.12799999999999967,,-0.027599999999999625
2020-09-16,1.3956,2.1481,1.4536,2.2704,2.2,,,0.12230000000000008,,-0.0703999999999998
